HomeTeam,AwayTeam,FTHG,FTAG
UC Dublin,Athlone,1,1
Limerick,Derry City,0,4
Athlone,Cork City,2,2
Bray,UC Dublin,2,0
Derry City,St. Patricks,0,1
Dundalk,Bohemians,3,2
Limerick,Drogheda,0,3
Shamrock Rovers,Sligo Rovers,1,0
St. Patricks,Dundalk,1,0
Bohemians,Bray,2,1
Cork City,Shamrock Rovers,1,0
Derry City,Sligo Rovers,2,1
Drogheda,Athlone,1,1
UC Dublin,Limerick,1,3
Dundalk,Derry City,5,0
Sligo Rovers,Bohemians,3,2
Bray,St. Patricks,2,4
Athlone,Bohemians,0,0
Sligo Rovers,Drogheda,0,2
Limerick,Cork City,0,1
Bohemians,Shamrock Rovers,1,1
Cork City,Sligo Rovers,2,1
Bohemians,Limerick,2,0
Derry City,Athlone,1,1
Drogheda,Bray,1,1
St. Patricks,Shamrock Rovers,1,1
UC Dublin,Dundalk,0,2
Bray,Derry City,1,1
St. Patricks,Bohemians,3,1
Shamrock Rovers,UC Dublin,3,0
Limerick,Athlone,4,2
Cork City,Drogheda,2,1
Sligo Rovers,UC Dublin,4,0
Athlone,Dundalk,0,3
Bohemians,Sligo Rovers,2,2
Derry City,Limerick,1,2
Drogheda,St. Patricks,2,3
UC Dublin,Cork City,0,4
Shamrock Rovers,Bray,1,0
Dundalk,Shamrock Rovers,0,0
Bray,Dundalk,1,1
Cork City,Bohemians,1,0
Derry City,UC Dublin,0,1
Drogheda,Shamrock Rovers,0,2
Galway,Shelbourne,2,0
Limerick,Sligo Rovers,1,0
St. Patricks,Athlone,0,2
Athlone,Bray,1,1
Bohemians,Derry City,2,1
Dundalk,Cork City,2,0
Shamrock Rovers,Limerick,1,0
Sligo Rovers,St. Patricks,1,4
UC Dublin,Drogheda,1,0
Shelbourne,Galway,1,2
UC Dublin,Galway,1,2
Galway,UC Dublin,3,0
Dundalk,Longford,1,0
Galway,Derry City,1,2
Shamrock Rovers,St. Patricks,1,0
Bray,Drogheda,0,1
Limerick,Bohemians,0,3
Sligo Rovers,Cork City,1,1
Bohemians,Galway,2,0
Cork City,Limerick,5,0
Derry City,Dundalk,0,1
Drogheda,Sligo Rovers,3,2
St. Patricks,Bray,3,0
Longford,Shamrock Rovers,0,2
Dundalk,St. Patricks,3,0
Galway,Drogheda,1,0
Shamrock Rovers,Cork City,0,0
Bray,Bohemians,0,1
Limerick,Longford,2,2
Sligo Rovers,Derry City,1,1
Bohemians,Dundalk,0,3
Cork City,Galway,2,0
Drogheda,Limerick,1,1
Sligo Rovers,Shamrock Rovers,1,2
St. Patricks,Derry City,2,0
Longford,Bray,2,0
Dundalk,Sligo Rovers,3,0
Derry City,Drogheda,3,0
Galway,Longford,1,2
Shamrock Rovers,Bohemians,0,0
Bray,Cork City,0,1
Limerick,St. Patricks,1,2
Sligo Rovers,Bray,1,3
Cork City,Derry City,3,0
Drogheda,Bohemians,0,1
Shamrock Rovers,Galway,3,0
Limerick,Dundalk,1,1
Longford,St. Patricks,2,2
Bohemians,Longford,2,0
Derry City,Shamrock Rovers,0,0
Dundalk,Drogheda,1,0
Galway,Sligo Rovers,0,1
St. Patricks,Cork City,0,0
Bray,Limerick,4,0
Bohemians,St. Patricks,0,1
Derry City,Bray,0,0
Drogheda,Cork City,1,2
Galway,Limerick,3,2
Longford,Sligo Rovers,1,1
Shamrock Rovers,Dundalk,2,2
Bray,Shamrock Rovers,0,3
Cork City,Longford,2,0
Dundalk,Galway,3,0
Limerick,Derry City,0,2
Sligo Rovers,Bohemians,0,0
St. Patricks,Drogheda,2,2
Cork City,Dundalk,1,2
Derry City,Bohemians,1,2
Drogheda,Longford,0,3
St. Patricks,Sligo Rovers,3,0
Bray,Galway,0,5
Limerick,Shamrock Rovers,1,1
Galway,St. Patricks,1,4
Shamrock Rovers,Drogheda,1,0
Longford,Derry City,0,0
Sligo Rovers,Limerick,1,1
Dundalk,Bray,8,1
Bohemians,Cork City,1,1
Bohemians,Limerick,2,1
Cork City,Sligo Rovers,3,2
Derry City,Galway,0,2
Drogheda,Bray,4,2
Longford,Dundalk,0,2
Cork City,Drogheda,4,1
St. Patricks,Shamrock Rovers,0,0
Dundalk,Derry City,1,0
Galway,Bohemians,5,3
Shamrock Rovers,Longford,3,2
Bray,St. Patricks,1,0
Limerick,Cork City,0,1
Sligo Rovers,Drogheda,2,0
Bohemians,Bray,0,0
Cork City,Shamrock Rovers,0,0
Derry City,Sligo Rovers,1,1
Drogheda,Galway,2,0
St. Patricks,Dundalk,0,2
Longford,Limerick,1,0
Bray,Longford,0,1
Derry City,St. Patricks,0,3
Dundalk,Bohemians,1,2
