HomeTeam,AwayTeam,FTHG,FTAG
Sanfrecce Hiroshima,Cerezo Osaka,4,1
Nagoya Grampus,Kashima Antlers,1,2
Sagan Tosu,Urawa Reds,3,1
Vegalta Sendai,Albirex Niigata,0,1
Kashiwa Reysol,Vissel Kobe,1,0
Kawasaki Frontale,Shimizu S-Pulse,2,1
Omiya Ardija,Iwata,2,0
Hokkaido Consadole Sapporo,Yokohama F. Marinos,0,2
Albirex Niigata,Hokkaido Consadole Sapporo,4,1
Cerezo Osaka,Kawasaki Frontale,2,2
FC Tokyo,Vegalta Sendai,6,2
Iwata,Gamba Osaka,2,1
Kashima Antlers,Kashiwa Reysol,2,0
Vissel Kobe,Sanfrecce Hiroshima,0,1
Shimizu S-Pulse,Omiya Ardija,0,0
Urawa Reds,Nagoya Grampus,2,0
Yokohama F. Marinos,Sagan Tosu,1,0
Cerezo Osaka,Albirex Niigata,1,0
Sanfrecce Hiroshima,Urawa Reds,1,2
Nagoya Grampus,Iwata,1,1
Sagan Tosu,Kashima Antlers,1,1
Vegalta Sendai,Kofu,1,1
Yokohama F. Marinos,Shonan Bellmare,4,2
Omiya Ardija,Shimizu S-Pulse,2,2
Oita Trinita,FC Tokyo,1,2
Kashiwa Reysol,Kawasaki Frontale,3,1
Albirex Niigata,Sanfrecce Hiroshima,1,2
FC Tokyo,Kashiwa Reysol,3,0
Kashima Antlers,Vegalta Sendai,3,2
Kofu,Cerezo Osaka,1,2
Shimizu S-Pulse,Yokohama F. Marinos,0,5
Iwata,Omiya Ardija,0,1
Kawasaki Frontale,Oita Trinita,1,1
Urawa Reds,Nagoya Grampus,1,0
Shonan Bellmare,Sagan Tosu,1,1
Oita Trinita,Urawa Reds,2,2
Sagan Tosu,Kawasaki Frontale,5,4
Vegalta Sendai,Kashiwa Reysol,2,1
Yokohama F. Marinos,Iwata,2,1
Cerezo Osaka,FC Tokyo,1,0
Omiya Ardija,Albirex Niigata,1,1
Shonan Bellmare,Shimizu S-Pulse,1,1
Kofu,Nagoya Grampus,0,1
Sanfrecce Hiroshima,Kashima Antlers,0,0
Cerezo Osaka,Vegalta Sendai,1,1
Shimizu S-Pulse,Sanfrecce Hiroshima,0,4
Iwata,Sagan Tosu,3,3
Kashiwa Reysol,Oita Trinita,3,1
Kawasaki Frontale,Kofu,1,1
Nagoya Grampus,Shonan Bellmare,2,0
Omiya Ardija,Kashima Antlers,3,1
Albirex Niigata,Urawa Reds,0,2
Yokohama F. Marinos,FC Tokyo,3,2
FC Tokyo,Omiya Ardija,0,1
