HomeTeam,AwayTeam,FTHG,FTAG
Lokomotiv Moscow,Spartak Moscow,0,0
Tomsk,Dynamo Moscow,1,3
Rubin Kazan,FK Rostov,1,2
Kuban,Krasnodar,1,3
CSKA Moscow,Volga N. Novgorod,3,0
Kuban,Tomsk,2,0
Spartak Moscow,Ural,0,1
Amkar,Akhmat Grozny,0,1
Krylya Sovetov,CSKA Moscow,1,3
Zenit,Rubin Kazan,6,2
FK Anzi Makhackala,Dynamo Moscow,4,0
Krasnodar,FK Rostov,0,2
Lokomotiv Moscow,Volga N. Novgorod,3,0
Krylya Sovetov,Akhmat Grozny,1,1
Spartak Moscow,Krylya Sovetov,1,0
Tomsk,Amkar,0,0
CSKA Moscow,Ural,1,0
Akhmat Grozny,FK Rostov,3,0
Zenit,Krasnodar,4,1
Lokomotiv Moscow,FK Anzi Makhackala,0,0
Rubin Kazan,Kuban,0,2
Volga N. Novgorod,Dynamo Moscow,0,5
Amkar,Ural,0,2
Tomsk,Krylya Sovetov,2,0
Lokomotiv Moscow,Akhmat Grozny,2,1
FK Anzi Makhackala,Zenit,1,2
Rubin Kazan,Spartak Moscow,2,1
Dynamo Moscow,Krasnodar,1,2
Kuban,CSKA Moscow,0,4
Volga N. Novgorod,FK Rostov,2,1
Krylya Sovetov,Amkar,2,2
Ural,Tomsk,0,0
Zenit,Volga N. Novgorod,2,0
Krasnodar,Lokomotiv Moscow,1,3
CSKA Moscow,Rubin Kazan,2,1
FK Rostov,FK Anzi Makhackala,1,1
Akhmat Grozny,Dynamo Moscow,1,0
Spartak Moscow,Kuban,0,2
Amkar,CSKA Moscow,1,3
Volga N. Novgorod,Krasnodar,0,1
FK Rostov,Dynamo Moscow,2,3
Tomsk,Spartak Moscow,2,1
Kuban,Krylya Sovetov,4,0
Lokomotiv Moscow,Zenit,1,1
Rubin Kazan,Ural,1,0
FK Anzi Makhackala,Akhmat Grozny,3,0
Ural,Kuban,2,1
Krylya Sovetov,Rubin Kazan,0,4
Spartak Moscow,Amkar,1,0
Akhmat Grozny,Volga N. Novgorod,2,0
Zenit,Dynamo Moscow,0,3
CSKA Moscow,Tomsk,2,0
Krasnodar,FK Anzi Makhackala,1,0
FK Rostov,Lokomotiv Moscow,2,0
Amkar,Krasnodar,2,2
CSKA Moscow,Lokomotiv Moscow,1,0
FK Anzi Makhackala,Krylya Sovetov,0,1
Kuban,Zenit,1,4
