HomeTeam,AwayTeam,FTHG,FTAG
Jagiellonia,Korona Kielce,1,1
Lech Poznan,Lechia Gdansk,2,1
Podbeskidzie,Cracovia,1,1
Pogon Szczecin,Ruch,3,1
Slask Wroclaw,Gornik Z.,1,1
Piast Gliwice,Legia,1,2
Ruch,Podbeskidzie,0,1
Korona Kielce,Pogon Szczecin,2,2
Legia,Lech Poznan,1,0
Cracovia,Widzew Lodz,1,1
Lechia Gdansk,Piast Gliwice,3,1
Zawisza,Slask Wroclaw,1,0
Gornik Z.,Jagiellonia,3,3
Zaglebie,Wisla,3,1
Podbeskidzie,Slask Wroclaw,3,3
Cracovia,Gornik Z.,2,0
Lechia Gdansk,Zaglebie,2,1
Widzew Lodz,Wisla,2,1
Lech Poznan,Jagiellonia,6,1
Piast Gliwice,Pogon Szczecin,2,2
Legia,Zawisza,3,0
Ruch,Korona Kielce,2,0
Gornik Z.,Lech Poznan,0,3
Jagiellonia,Piast Gliwice,1,1
Korona Kielce,Cracovia,1,0
Pogon Szczecin,Widzew Lodz,1,0
Slask Wroclaw,Lechia Gdansk,1,0
Wisla,Podbeskidzie,0,1
Zaglebie,Legia,1,3
Zawisza,Ruch,0,3
Cracovia,Podbeskidzie,0,1
Lech Poznan,Wisla,3,0
Slask Wroclaw,Zaglebie,1,0
Jagiellonia,Piast Gliwice,4,3
Legia,Zawisza,2,0
Korona Kielce,Widzew Lodz,2,2
Ruch,Lechia Gdansk,0,0
Pogon Szczecin,Gornik Z.,2,2
Podbeskidzie,Jagiellonia,2,1
Piast Gliwice,Slask Wroclaw,0,0
Lechia Gdansk,Legia,0,1
Wisla,Pogon Szczecin,5,0
Widzew Lodz,Cracovia,2,0
Gornik Z.,Ruch,2,0
Zawisza,Lech Poznan,1,2
Zaglebie,Korona Kielce,0,0
Jagiellonia,Zaglebie,1,0
Legia,Wisla,5,0
Cracovia,Piast Gliwice,1,5
Pogon Szczecin,Lechia Gdansk,0,2
Lech Poznan,Gornik Z.,2,1
Korona Kielce,Podbeskidzie,3,2
Ruch,Zawisza,3,1
Slask Wroclaw,Widzew Lodz,1,0
Widzew Lodz,Jagiellonia,1,1
Lechia Gdansk,Lech Poznan,2,1
Slask Wroclaw,Podbeskidzie,0,0
Korona Kielce,Piast Gliwice,0,1
Pogon Szczecin,Zawisza,1,2
Zaglebie,Cracovia,1,2
Gornik Z.,Legia,2,3
Ruch,Wisla,2,2
Jagiellonia,Slask Wroclaw,0,3
Podbeskidzie,Widzew Lodz,3,0
Cracovia,Korona Kielce,1,1
Piast Gliwice,Zaglebie,2,0
