HomeTeam,AwayTeam,FTHG,FTAG
Guangzhou R&F,Changchun Yatai,2,2
Hangzhou Greentown,Shanghai Shenhua,4,1
Shanghai Shenxin,Liaoning,2,1
Beijing Guoan,Shandong Luneng,3,1
Tianjin Jinmen Tiger,Shijiazhuang,1,1
Henan Songshan Longmen,Shanghai SIPG,2,2
Jiangsu Suning,Guangzhou Evergrande,0,1
Changchun Yatai,Tianjin Jinmen Tiger,2,2
Shijiazhuang,Beijing Guoan,2,2
Shanghai Shenxin,Jiangsu Suning,0,1
Guangzhou Evergrande,Shanghai Shenhua,2,2
Beijing Renhe,Henan Songshan Longmen,2,0
Liaoning,Guangzhou R&F,1,0
Shandong Luneng,Chongqing Liangjiang Athletic,3,0
Shanghai SIPG,Hangzhou Greentown,2,1
Shanghai Shenxin,Guangzhou Evergrande,2,4
Henan Songshan Longmen,Shandong Luneng,1,0
Beijing Renhe,Hangzhou Greentown,1,2
Chongqing Liangjiang Athletic,Shijiazhuang,1,0
Guangzhou R&F,Jiangsu Suning,2,1
Tianjin Jinmen Tiger,Liaoning,0,0
Shanghai Shenhua,Shanghai SIPG,1,2
Beijing Renhe,Shanghai Shenhua,1,2
Liaoning,Beijing Guoan,1,0
Shanghai SIPG,Guangzhou Evergrande,0,3
Shijiazhuang,Henan Songshan Longmen,0,1
Changchun Yatai,Chongqing Liangjiang Athletic,2,1
Jiangsu Suning,Tianjin Jinmen Tiger,1,1
Shanghai Shenxin,Guangzhou R&F,2,1
Shandong Luneng,Hangzhou Greentown,2,1
Beijing Guoan,Changchun Yatai,3,1
Hangzhou Greentown,Shijiazhuang,1,1
Tianjin Jinmen Tiger,Shanghai Shenxin,4,1
Shanghai SIPG,Beijing Renhe,3,1
Beijing Guoan,Jiangsu Suning,1,0
Chongqing Liangjiang Athletic,Liaoning,1,1
Henan Songshan Longmen,Changchun Yatai,0,0
Shanghai Shenhua,Shandong Luneng,1,2
Guangzhou R&F,Guangzhou Evergrande,1,2
Beijing Renhe,Guangzhou Evergrande,2,3
Shandong Luneng,Shanghai SIPG,0,1
Shijiazhuang,Shanghai Shenhua,2,0
Guangzhou R&F,Tianjin Jinmen Tiger,1,0
Liaoning,Henan Songshan Longmen,0,1
Changchun Yatai,Hangzhou Greentown,1,0
Jiangsu Suning,Chongqing Liangjiang Athletic,1,2
Shanghai Shenxin,Beijing Guoan,0,4
Shanghai Shenhua,Changchun Yatai,3,0
Beijing Guoan,Guangzhou R&F,2,0
Shandong Luneng,Beijing Renhe,5,2
Tianjin Jinmen Tiger,Guangzhou Evergrande,0,2
Jiangsu Suning,Henan Songshan Longmen,1,1
Shanghai SIPG,Shijiazhuang,2,2
Chongqing Liangjiang Athletic,Shanghai Shenxin,2,0
Hangzhou Greentown,Liaoning,0,0
Changchun Yatai,Shanghai SIPG,0,2
Guangzhou Evergrande,Shandong Luneng,2,2
Guangzhou R&F,Chongqing Liangjiang Athletic,2,0
Jiangsu Suning,Hangzhou Greentown,1,1
Liaoning,Shanghai Shenhua,1,0
Shanghai Shenxin,Henan Songshan Longmen,1,2
Shijiazhuang,Beijing Renhe,1,2
Tianjin Jinmen Tiger,Beijing Guoan,4,0
Beijing Guoan,Guangzhou Evergrande,0,2
Beijing Renhe,Changchun Yatai,2,2
Chongqing Liangjiang Athletic,Tianjin Jinmen Tiger,1,1
Hangzhou Greentown,Shanghai Shenxin,4,2
Henan Songshan Longmen,Guangzhou R&F,1,0
Shandong Luneng,Shijiazhuang,3,1
Shanghai Shenhua,Jiangsu Suning,3,1
Shanghai SIPG,Liaoning,2,1
