HomeTeam,AwayTeam,FTHG,FTAG
Pandurii,CFR Cluj,0,0
Gaz Metan Medias,Poli Iasi,0,0
U. Cluj,Din. Bucuresti,2,3
U Craiova,Viitorul Constanta,2,2
FC Rapid Bucuresti,Gaz Metan Medias,1,1
Pandurii,Ceahlaul,0,1
Din. Bucuresti,Targu Mures,1,1
FC Botosani,Astra,1,0
Poli Iasi,Petrolul,1,5
CFR Cluj,FCSB,0,1
Concordia,U. Cluj,0,2
FC Brasov,Otelul,1,1
Gaz Metan Medias,U Craiova,1,0
FCSB,Pandurii,6,0
Astra,Poli Iasi,2,1
Petrolul,FC Rapid Bucuresti,0,0
Targu Mures,Concordia,2,0
Otelul,FC Botosani,0,1
Ceahlaul,Din. Bucuresti,1,1
U. Cluj,FC Brasov,1,1
Viitorul Constanta,CFR Cluj,0,2
FC Brasov,Targu Mures,2,1
Concordia,Din. Bucuresti,0,0
Pandurii,Viitorul Constanta,1,1
FCSB,Ceahlaul,0,1
FC Botosani,U. Cluj,1,0
FC Rapid Bucuresti,Astra,0,2
U Craiova,Petrolul,0,2
Poli Iasi,Otelul,0,0
CFR Cluj,Gaz Metan Medias,4,1
Gaz Metan Medias,Pandurii,0,2
Ceahlaul,Concordia,2,0
Din. Bucuresti,FC Brasov,2,1
Viitorul Constanta,FCSB,0,1
Targu Mures,FC Botosani,2,1
Astra,U Craiova,5,0
Petrolul,CFR Cluj,1,2
Otelul,FC Rapid Bucuresti,2,0
U. Cluj,Poli Iasi,2,0
FC Brasov,Concordia,4,1
FCSB,Gaz Metan Medias,3,1
Viitorul Constanta,Ceahlaul,2,0
CFR Cluj,Astra,4,1
Poli Iasi,Targu Mures,2,2
FC Rapid Bucuresti,U. Cluj,2,1
FC Botosani,Din. Bucuresti,3,2
U Craiova,Otelul,1,0
Pandurii,Petrolul,1,1
Gaz Metan Medias,Viitorul Constanta,3,1
Targu Mures,FC Rapid Bucuresti,1,0
Concordia,FC Botosani,3,3
Otelul,CFR Cluj,0,1
Din. Bucuresti,Poli Iasi,1,0
Ceahlaul,FC Brasov,2,2
Astra,Pandurii,2,1
Petrolul,FCSB,2,3
U. Cluj,U Craiova,0,2
Poli Iasi,Concordia,1,2
Gaz Metan Medias,Ceahlaul,2,2
FC Botosani,FC Brasov,0,0
FC Rapid Bucuresti,Din. Bucuresti,0,3
U Craiova,Targu Mures,1,0
Viitorul Constanta,Petrolul,1,3
FCSB,Astra,0,0
Pandurii,Otelul,4,0
CFR Cluj,U. Cluj,1,0
FC Brasov,Poli Iasi,2,0
Concordia,FC Rapid Bucuresti,0,0
Ceahlaul,FC Botosani,0,1
U. Cluj,Pandurii,2,0
Petrolul,Gaz Metan Medias,1,0
Otelul,FCSB,0,3
Astra,Viitorul Constanta,0,1
Din. Bucuresti,U Craiova,1,1
Targu Mures,CFR Cluj,2,0
Poli Iasi,FC Botosani,2,2
FC Rapid Bucuresti,FC Brasov,0,1
Viitorul Constanta,Otelul,3,0
Pandurii,Targu Mures,1,1
CFR Cluj,Din. Bucuresti,2,1
U Craiova,Concordia,1,1
Gaz Metan Medias,Astra,1,1
FCSB,U. Cluj,4,1
Petrolul,Ceahlaul,2,0
Otelul,Gaz Metan Medias,1,1
FC Brasov,U Craiova,2,3
Ceahlaul,Poli Iasi,2,2
U. Cluj,Viitorul Constanta,2,2
FC Botosani,FC Rapid Bucuresti,3,0
Concordia,CFR Cluj,1,1
Din. Bucuresti,Pandurii,3,2
Targu Mures,FCSB,1,0
Astra,Petrolul,0,0
FCSB,Din. Bucuresti,3,0
Gaz Metan Medias,U. Cluj,1,1
U Craiova,FC Botosani,2,1
Astra,Ceahlaul,2,1
Viitorul Constanta,Targu Mures,0,0
Petrolul,Otelul,0,0
CFR Cluj,FC Brasov,1,2
FC Rapid Bucuresti,Poli Iasi,0,1
Pandurii,Concordia,1,1
Targu Mures,Gaz Metan Medias,2,0
Din. Bucuresti,Viitorul Constanta,2,3
FC Brasov,Pandurii,0,3
FC Botosani,CFR Cluj,0,1
U. Cluj,Petrolul,0,3
Poli Iasi,U Craiova,1,3
Otelul,Astra,1,1
Concordia,FCSB,0,1
FC Rapid Bucuresti,Ceahlaul,1,1
Viitorul Constanta,Concordia,2,2
Gaz Metan Medias,Din. Bucuresti,1,2
Astra,U. Cluj,1,1
Ceahlaul,Otelul,0,1
FCSB,FC Brasov,2,0
Pandurii,FC Botosani,1,2
CFR Cluj,Poli Iasi,4,0
Petrolul,Targu Mures,2,0
